Dato,df_mowi,df_salm,salmPrice
2017-12-12,123.417828118746,223.718301895711,45.31
2017-12-19,120.848469170115,212.154334004482,51.2
2017-12-26,119.962483325759,211.620612409502,50.73
2018-01-02,121.468659261164,214.200266785238,50.98
2018-01-09,122.664740151044,211.887473206992,54.18
2018-01-16,122.221747228866,199.256062125803,56.34
2018-01-23,120.804169877897,193.385124581025,54.61
2018-01-30,118.057613760394,185.023486259674,53.19
2018-02-06,119.563789695799,193.740938977678,55.33
2018-02-13,131.436000010165,213.666545190258,53.69
2018-02-20,133.34086957553,232.524708212879,52.1
2018-02-27,137.974631153439,246.045655285701,54.7
2018-03-06,136.758003119101,253.873572012072,61.67
2018-03-13,141.624515256453,268.63986947318,66.88
2018-03-20,137.884510558303,270.7747558531,71.02
2018-03-27,142.345480017542,286.074774909188,69.88
2018-04-03,146.896570071918,293.546877238906,66.46
2018-04-10,154.55682065849,303.509680345196,76.97
2018-04-17,156.809835536894,320.766678582877,75.35
2018-04-24,156.539473751486,334.821347250679,70.0
2018-05-01,157.395619405279,333.575996862393,68.98
2018-05-08,159.062850415298,355.636489454892,68.66
2018-05-15,152.93464994604,338.023676820558,75.09
2018-05-22,150.361716350854,312.938761856506,80.22
2018-05-29,151.18536543616,316.141091426385,80.02
2018-06-05,148.348351920106,307.779453105034,78.3
2018-06-12,156.493326208132,328.298083312037,66.47
2018-06-19,152.695388759221,332.627702530028,60.9
2018-06-26,150.590507763439,325.097929977,65.23
2018-07-03,150.544749480922,322.838998211091,60.81
2018-07-10,152.924180171806,340.722208024534,56.15
2018-07-17,152.649630476704,347.687247636085,56.54
2018-07-24,154.84602803752,352.016866854076,53.28
2018-07-31,163.21979373813,391.736417071301,53.88
2018-08-07,163.723134845817,400.207411193458,53.81
2018-08-14,161.84704526262,396.442524916944,54.56
2018-08-21,165.690740994048,396.819013544595,54.83
2018-08-28,161.801286980103,376.488627651418,50.76
2018-09-04,167.138689526653,383.45366726297,49.97
2018-09-11,168.995786076949,381.759468438538,55.6
2018-09-18,172.570696936269,392.865882954255,62.6
2018-09-25,176.377744864376,390.606951188346,60.83
2018-10-02,182.088316756537,412.443291592129,57.86
2018-10-09,178.002704345885,398.889700996678,57.62
2018-10-16,184.781106754466,413.949246102734,54.96
2018-10-23,185.663227615857,402.842831587018,56.89
2018-10-30,187.102477442336,403.784053156146,57.1
2018-11-06,189.795267440266,427.879325325837,56.73
2018-11-13,187.216134010227,479.552389470994,58.29
2018-11-20,183.641152556765,445.197802197802,55.75
2018-11-27,186.980937861973,438.044518272425,53.66
2018-12-04,192.108213893911,458.939637107079,50.65
2018-12-11,176.632307338795,435.785586506517,54.03
2018-12-18,175.926718894032,430.891234347048,57.6
2018-12-25,180.912877237018,420.537797086634,57.61
2019-01-01,171.881345144063,402.842831587018,56.79
2019-01-08,166.424794504569,395.689547661641,65.92
2019-01-15,175.926718894032,404.348786097623,65.6
2019-01-22,179.548739577145,419.40833120368,61.69
2019-01-29,178.372758835875,415.831689240992,61.12
2019-02-05,176.208954271937,413.384513161257,59.21
2019-02-12,176.020797353334,403.784053156146,56.1
2019-02-19,188.062840143942,412.255047278303,55.44
2019-02-26,191.318885545676,406.795962177357,55.41
2019-03-05,195.989849866422,409.054893943266,57.84
2019-03-12,197.229085298457,406.984206491183,65.66
2019-03-19,192.558120977711,388.912752363915,73.85
2019-03-26,187.124550237251,383.265422949144,72.31
2019-04-02,183.9311358547,390.136340403782,66.88
2019-04-09,179.784463447506,387.783286480961,64.76
2019-04-16,182.548911718968,381.100613340148,67.96
2019-04-23,179.689137645042,368.488244313826,67.73
2019-04-30,178.163924805615,368.95885509839,73.88
2019-05-07,180.213429558595,372.91198568873,68.51
2019-05-14,186.64792122493,372.723741374904,60.95
2019-05-21,197.502394345037,381.571224124712,59.76
2019-05-28,206.097853072034,398.607334525939,63.45
2019-06-04,198.178441660644,373.664962944033,58.95
2019-06-11,201.944990990451,374.9,56.13
2019-06-18,198.371598036531,364.5,60.91
2019-06-25,197.405816157094,364.4,72.41
2019-07-02,199.820270855688,388.6,62.55
2019-07-09,209.671246025954,443.6,56.84
2019-07-16,207.932838642966,437.5,60.05
2019-07-23,213.630951731649,435.6,63.07
2019-07-30,205.808118508203,403.9,57.01
2019-08-06,211.892544348661,402.5,52.84
2019-08-13,222.516145022477,438.1,50.13
2019-08-20,220.005112135939,431.0,52.23
2019-08-27,213.244638979874,440.8,50.46
2019-09-03,213.107286238969,433.0,46.67
2019-09-10,200.795723622687,404.4,50.08
2019-09-17,205.876685972264,407.7,47.06
2019-09-24,203.43391561189,404.9,43.89
2019-10-01,202.359096653326,399.0,42.5
2019-10-08,205.681264343434,407.1,43.36
2019-10-15,207.146926559658,411.4,42.76
2019-10-22,225.028005597591,440.7,47.99
2019-10-29,222.976078494877,437.0,52.06
2019-11-05,216.722586372321,422.8,52.05
2019-11-12,224.197705207414,437.5,48.52
2019-11-19,220.639011473963,395.2,51.02
2019-11-26,224.197705207414,417.7,57.02
2019-12-03,222.121800529568,433.2,61.34
2019-12-10,226.669020300088,450.8,62.36
2019-12-17,221.528684907326,439.4,62.2
2019-12-24,228.843777581642,455.3,69.42
2019-12-31,225.581641659312,449.3,74.96
2020-01-07,224.593115622242,447.7,77.95
2020-01-14,225.482789055605,468.4,78.76
2020-01-21,220.243601059135,464.0,79.77
2020-01-28,223.406884377758,469.2,79.03
2020-02-04,215.004413062666,448.7,77.74
2020-02-11,218.563106796116,449.4,70.24
2020-02-18,223.01147396293,472.1,65.31
2020-02-25,218.0,461.7,62.63
2020-03-03,196.75,430.1,68.12
2020-03-10,192.35,430.3,74.8
2020-03-17,176.0,382.4,67.82
2020-03-24,178.5,391.0,67.96
2020-03-31,158.65,347.4,59.68
2020-04-07,175.6,392.7,56.14
2020-04-14,180.55,406.5,53.79
2020-04-21,184.8,414.8,54.19
